Word|PartNet|PartNetFail|Disambiguation|DisambiguationFail
room|building||house|
middle|torso||house|
room|building||house|
kitchen|dwelling||house|
cooker|unwearable|0|house|0
corner|piot||house|
room|building||house|
walls|walls||house|
counter|multirole|0|house|0
left|outfield||house|
oven|stove|0|house|0
sink|sink|1|house|0
side|side||house|
fridge|fridge|1|house|0
ceiling|room||house|
side|side||house|
garden|garden||house|
terrace|garden|0|house|0
lawn|lawn||house|
stone|stone||house|
curtain|curtain|1|house|0
of|faulty||house|
side|side||house|
wine|coffee||house|
cupboard|cupboard|1|house|0
chair|chair|1|house|0
front|battlefield||house|
room|building||house|
parquet|theater||house|
